continous_index,original_index,zinc_id,smiles,src
196,399,ZINC000001529568,N=C(N)NCCC[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,bachem-for-sale.csv
197,400,ZINC000001529776,CNC(=N)NCCC[C@H](N)C(=O)O,bachem-for-sale.csv
198,402,ZINC000001530091,COC(=O)[C@@H](N)CCC(=O)O,bachem-for-sale.csv
199,403,ZINC000001530138,NCCCC[C@H](NC(=O)CCN)C(=O)O,bachem-for-sale.csv
200,406,ZINC000001531037,NC(=O)NC[C@H](N)C(=O)O,bachem-for-sale.csv
201,407,ZINC000001532132,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,bachem-for-sale.csv
202,409,ZINC000001532220,CC(C)C[C@H](NC(=O)[C@H](N)CC(C)C)C(=O)O,bachem-for-sale.csv
203,410,ZINC000001532221,CC(C)C[C@H](N)C(=O)N[C@H](CC(C)C)C(=O)O,bachem-for-sale.csv
204,411,ZINC000001532222,CC(C)C[C@@H](N)C(=O)N[C@H](CC(C)C)C(=O)O,bachem-for-sale.csv
205,412,ZINC000001532464,C[C@@H](OP(=O)(O)O)[C@H](N)C(=O)O,bachem-for-sale.csv
206,414,ZINC000001532522,NCCCC[C@H](N)C(=O)O,bachem-for-sale.csv
207,415,ZINC000001532525,N=C(N)NCCC[C@H](N)C(=O)O,bachem-for-sale.csv
208,416,ZINC000001532526,NC(=O)CC[C@H](N)C(=O)O,bachem-for-sale.csv
209,417,ZINC000001532529,CSCC[C@H](N)C(=O)O,bachem-for-sale.csv
210,418,ZINC000001532529,CSCC[C@H](N)C(=O)O,bachem-for-sale.csv
211,419,ZINC000001532530,NCCC[C@H](N)C(=O)O,bachem-for-sale.csv
212,420,ZINC000001532560,N=C(N)NCCCCN,bachem-for-sale.csv
213,421,ZINC000001532609,NC(=O)CC[C@@H](N)C(=O)O,bachem-for-sale.csv
214,422,ZINC000001532614,NC(=O)NCCC[C@H](N)C(=O)O,bachem-for-sale.csv
215,423,ZINC000001532657,CC(=O)N[C@@H](CCCN)C(=O)O,bachem-for-sale.csv
216,424,ZINC000001532673,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,bachem-for-sale.csv
217,425,ZINC000001532678,NCCC[C@@H](N)C(=O)O,bachem-for-sale.csv
218,426,ZINC000001532712,N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O,bachem-for-sale.csv
219,427,ZINC000001532722,N[C@@H](CCC[C@@H](N)C(=O)O)C(=O)O,bachem-for-sale.csv
220,428,ZINC000001532731,NCCCC[C@@H](N)C(=O)O,bachem-for-sale.csv
221,429,ZINC000001532749,N=C(N)NCCC[C@@H](N)C(=O)O,bachem-for-sale.csv
222,430,ZINC000001532766,CSCC[C@@H](N)C(=O)O,bachem-for-sale.csv
223,431,ZINC000001532775,Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1,bachem-for-sale.csv
224,432,ZINC000001532798,N[C@@H](CCCC(=O)O)C(=O)O,bachem-for-sale.csv
225,433,ZINC000001532807,C[C@@H](N)C(=O)N[C@H](C)C(=O)O,bachem-for-sale.csv
226,434,ZINC000001532890,NC[C@@H](O)CC[C@H](N)C(=O)O,bachem-for-sale.csv
227,435,ZINC000001532910,Cn1cncc1C[C@H](NC(=O)CCN)C(=O)O,bachem-for-sale.csv
228,436,ZINC000001539711,CC[C@H](C)[C@H](NS(=O)(=O)c1cccc2ccccc12)C(=O)N[C@H](C=O)Cc1c[nH]c2ccccc12,bachem-for-sale.csv
229,440,ZINC000001541833,CC(C)C[C@H](NC(=O)[C@H](C)N)C(=O)O,bachem-for-sale.csv
230,441,ZINC000001541834,CC(C)C[C@H](N)C(=O)N[C@@H](CO)C(=O)O,bachem-for-sale.csv
231,442,ZINC000001542895,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,bachem-for-sale.csv
232,445,ZINC000001549362,N[C@H](CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)O,bachem-for-sale.csv
233,446,ZINC000001552088,CCOC(=O)[C@H](CS)NC(=O)CC[C@H](N)C(=O)O,bachem-for-sale.csv
234,448,ZINC000001555345,CNCC(N)=O,bachem-for-sale.csv
235,450,ZINC000001557161,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,bachem-for-sale.csv
236,459,ZINC000001569524,CSCC[C@H](NC(=O)CN)C(=O)O,bachem-for-sale.csv
237,460,ZINC000001569529,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,bachem-for-sale.csv
238,461,ZINC000001569725,NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,bachem-for-sale.csv
239,462,ZINC000001569727,CC(C)C[C@H](N)C(=O)N[C@@H](C)C(=O)O,bachem-for-sale.csv
240,463,ZINC000001569728,CC(C)C[C@@H](N)C(=O)N[C@@H](C)C(=O)O,bachem-for-sale.csv
241,464,ZINC000001569729,CC(C)C[C@H](N)C(=O)N[C@H](C)C(=O)O,bachem-for-sale.csv
242,465,ZINC000001569730,CC(C)C[C@@H](N)C(=O)N[C@H](C)C(=O)O,bachem-for-sale.csv
243,466,ZINC000001569733,N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O,bachem-for-sale.csv
244,468,ZINC000001569738,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1,bachem-for-sale.csv
245,469,ZINC000001569740,CC(C)C[C@H](N)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,bachem-for-sale.csv
246,470,ZINC000001569745,CC(C)C[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,bachem-for-sale.csv
247,471,ZINC000001569746,CC(C)C[C@@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,bachem-for-sale.csv
248,472,ZINC000001569747,CC(C)C[C@H](N)C(=O)N[C@H](Cc1ccccc1)C(=O)O,bachem-for-sale.csv
249,473,ZINC000001569748,CC(C)C[C@@H](N)C(=O)N[C@H](Cc1ccccc1)C(=O)O,bachem-for-sale.csv
250,474,ZINC000001570252,CC(C)C[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,bachem-for-sale.csv
251,475,ZINC000001570970,CCCCC[C@H](N)C(=O)O,bachem-for-sale.csv
252,476,ZINC000001570979,Cc1ccc(C[C@H](N)C(=O)O)cc1,bachem-for-sale.csv
253,477,ZINC000001572030,CC(C)[C@H](NC(=O)[C@@H]1CCCN1)C(=O)O,bachem-for-sale.csv
254,478,ZINC000001572038,CC(C)[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,bachem-for-sale.csv
255,479,ZINC000001572939,CSCC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,bachem-for-sale.csv
256,482,ZINC000001575282,CC(C)C[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)O,bachem-for-sale.csv
